date,geography,geography code,accommodation_type_terraced,accommodation_type_part_of_a_converted_or_shared_house_including_bedsits,accommodation_type_in_a_purpose_built_block_of_flats_or_tenement,accommodation_density_score,accommodation_density_score_lower_2_5,accommodation_density_score_upper_97_5,accommodation_type_a_caravan_or_other_mobile_or_temporary_structure,accommodation_type_in_a_commercial_building_for_example_in_an_office_building_hotel_or_over_a_shop,temporary_dwelling_index,temporary_dwelling_index_lower_2_5,temporary_dwelling_index_upper_97_5
2021,Hartlepool,E06000001,13469,314,3995,-0.33682172720293013,-1.7785392048757365,1.0854670434680298,115,260,-0.20456014429334043,-1.7738695661414454,1.4020394171738078
2011,Hartlepool,E06000001,14933,40434,4489,-0.13492385846599747,-1.5840554790529413,1.2293001474739693,88,5121,-0.17736820524696792,-1.758532126368819,1.4373578125706035
2011,Middlesbrough,E06000002,18329,57203,6389,0.027028756996047443,-1.4295294367166644,1.457549188755127,21,7325,-0.17365342342446785,-1.7454715653686461,1.466239200956303
2021,Middlesbrough,E06000002,16768,647,6457,-0.2463625068598288,-1.6463405686837367,1.1288874954816903,51,308,-0.31586989190935527,-2.0049995617161054,1.3775925338519408
2011,Redcar and Cleveland,E06000003,16582,59605,4107,-0.06143701818599659,-1.486261024632823,1.3716084970266114,25,5472,-0.2204563396074795,-1.7683457426078082,1.3441246903279622
2021,Redcar and Cleveland,E06000003,15666,791,4005,-0.32494982557747054,-1.7123126228562315,1.0990041336101528,84,388,-0.25415920882366644,-1.811619620201488,1.3574795560768826
2011,Stockton-on-Tees,E06000004,18328,79159,7080,0.12101416236704313,-1.312727683490419,1.5639463361230466,63,8228,-0.12924660900077814,-1.7550995962399263,1.4045841655667808
2021,Stockton-on-Tees,E06000004,18298,723,6444,-0.25946551267808504,-1.6465611200624666,1.1909345417289685,79,334,-0.22613541558905914,-1.7975982398633077,1.2954234343120592
2011,Darlington,E06000005,14379,46670,5053,-0.12530165852548447,-1.6101256891648283,1.2885308160877387,30,6099,-0.20358433763253617,-1.7873637982625818,1.432224232504665
2021,Darlington,E06000005,13937,743,5271,-0.3380635839281441,-1.8057352696458486,1.0715438735834815,78,240,-0.2818320195709605,-1.8717501493129338,1.4343403030300699
2021,Halton,E06000006,18675,380,5317,-0.2793822452929027,-1.7673521163549044,1.1589458594005786,127,260,-0.2485430557373593,-1.9035989641335667,1.34971207402361
2011,Halton,E06000006,19384,53312,4952,0.027152157940709014,-1.3785660203213932,1.4959775104687212,110,5558,-0.14438042987102734,-1.718607811198114,1.3903417044874116
2021,Warrington,E06000007,20642,1135,9294,-0.16757109912898777,-1.55068378725991,1.2728343195817713,82,368,-0.25931718015598865,-1.7525417270953625,1.3182860884642924
2011,Warrington,E06000007,20331,85140,7956,0.21705067880627918,-1.291878547574381,1.6559741348154458,60,9158,-0.1196350818176219,-1.6948653699988148,1.4405100176672228
2011,Blackburn with Darwen,E06000008,25833,57353,5657,0.10722107406236657,-1.342668265606338,1.5621197819337604,53,6708,-0.1784747233740696,-1.7164302990451419,1.426868858826889
2021,Blackburn with Darwen,E06000008,25507,727,5550,-0.1396746458619846,-1.5389119409751184,1.301502937243943,44,445,-0.3133313046666348,-1.9193709646893127,1.1817430109080282
2011,Blackpool,E06000009,19520,64367,9369,0.11332731043533267,-1.3487650419048027,1.5654245130972066,160,14474,0.03369777680462596,-1.5232115506226003,1.6562965776898233
2021,Blackpool,E06000009,19105,3622,8771,-0.15891307705024402,-1.5838364266192186,1.3325870175788315,154,1052,-0.22804728836169086,-1.748794148500272,1.3518500102108897
2021,"Kingston upon Hull, City of",E06000010,53953,2681,13165,0.40661393515076016,-1.0943421597730005,1.8110734207186545,162,1071,-0.18038128270844045,-1.7998081982851744,1.383781517994877
2011,"Kingston upon Hull, City of",E06000010,55312,112596,13882,0.8440767017202228,-0.5719937903367162,2.2820245209087853,76,18114,0.058392325928064225,-1.6388527663995218,1.6636832193412867
