geography,geography code,accommodation_density_score_2011,accommodation_density_score_2021,temporary_dwelling_index_2011,temporary_dwelling_index_2021
Adur,E07000223,-0.32950545295998623,-0.431037621546291,-0.09967960226565399,-0.1635059408809411
Allerdale,E07000026,-0.13282765068662197,-0.37469666691687364,-0.12130609367996018,-0.17863750214245397
Amber Valley,E07000032,-0.1353898279399142,-0.36486579632508886,-0.20649098642456817,-0.23770025721984764
Arun,E07000224,0.024072651261453238,-0.19791286739001268,0.4866064228535306,0.3255362143900395
Ashfield,E07000170,-0.1527924869733561,-0.42686342545890854,-0.2747972253712687,-0.2925755792303429
Ashford,E07000105,-0.1575991641907091,-0.3280020725869106,0.031504261439584895,0.12028134711768582
Aylesbury Vale,E07000004,0.05202320802972583,0.4832691827426383,-0.1553201490814585,0.4112810954323815
Babergh,E07000200,-0.2668105105731831,-0.45723632558206156,-0.2349076814267902,-0.19512515970391722
Barking and Dagenham,E09000002,0.47647687425976093,0.16356681562082648,0.03465655522389095,-0.27713491379424404
Barnet,E09000003,0.8872190442567089,0.5455449082069525,0.6261433339884411,-0.1629315660391361
Barnsley,E08000016,0.28503455538051137,-0.12367650854838674,-0.20099205509533083,-0.25072710032098633
Barrow-in-Furness,E07000027,-0.17356473104586534,-0.3764529372072922,-0.08835299236725802,-0.1453703224520584
Basildon,E07000066,0.30645248376036477,-0.054770845642784456,0.06378560061766413,-0.10491445651093684
Basingstoke and Deane,E07000084,0.16195110096665755,-0.13652292084717085,-0.012500413988526811,-0.13409379384444353
Bassetlaw,E07000171,-0.21367002289158982,-0.443908362271557,-0.11808120919569273,-0.18173481783623371
Bath and North East Somerset,E06000022,0.15878273226453596,-0.1009021127321548,0.09855426799865635,-0.06765394165617643
Bedford,E06000055,-0.0042428727133181875,-0.214302685766346,0.24019068496240667,0.11079283708678717
Bexley,E09000004,0.44256385328114656,0.039258396561289974,0.06859869848467395,-0.2861358449798668
Birmingham,E08000025,1.5272132940226792,1.3229160005591614,0.9302537501874462,-0.04278352478446738
Blaby,E07000129,-0.34656342743810353,-0.508381694740218,-0.18161978801465886,-0.24931585481648139
Blackburn with Darwen,E06000008,0.10722107406236657,-0.1396746458619846,-0.1784747233740696,-0.3133313046666348
Blackpool,E06000009,0.11332731043533267,-0.15891307705024402,0.03369777680462596,-0.22804728836169086
Blaenau Gwent,W06000019,-0.19185370371206847,-0.37061052922743604,-0.2895733038435741,-0.30536491808339233
Bolsover,E07000033,-0.3228624188560666,-0.47204514514539947,-0.32823360933730406,-0.3006503032214022
Bolton,E08000001,0.7122773996784793,0.17342032612079525,-0.042918709751024395,-0.2812807915189753
Boston,E07000136,-0.3889385345698662,-0.4952454307161532,-0.1771057438921674,-0.20016500814604787
Bournemouth,E06000028,0.24200780109742975,0.3940876559991087,0.5781721833771185,0.15075960636930524
Bracknell Forest,E06000036,-0.05375853653859596,-0.22579832504956507,0.31835805185653593,0.2582240087912119
Bradford,E08000032,1.2629054242028,0.7125517140005377,0.4644969837714845,0.11591081316430789
Braintree,E07000067,-0.029209735604778193,-0.27201586776641257,-0.060895063356126426,-0.18547421859430765
Breckland,E07000143,-0.1631767483374882,-0.43255801353777057,-0.11892264013792081,-0.11566735461226965
Brent,E09000005,0.6795483711484077,0.3930234600112515,0.5351186652891444,-0.2337474567145985
Brentwood,E07000068,-0.340617323157794,-0.45051587943517496,-0.14067922637120955,-0.21594844058756396
Bridgend,W06000013,-0.07514563482534345,-0.2818411628944409,-0.1895469614721348,-0.22598448334651303
Brighton and Hove,E06000043,0.7536507034586143,0.3841713135326702,0.5256268649292265,-0.24178890865040484
"Bristol, City of",E06000023,1.2869953317074763,0.8985048777680679,0.6567336503016034,-0.1481794773162773
Broadland,E07000144,-0.2488768135517821,-0.45416569304574145,-0.09801471209678839,-0.04708505398757614
Bromley,E09000006,0.8132772675113109,0.3211640869821792,0.3732232205439898,-0.14934007154217555
Bromsgrove,E07000234,-0.2771867010075454,-0.4533723253497097,-0.06456560655469043,-0.08703151392385404
Broxbourne,E07000095,-0.15328622633836358,-0.27381838396565117,-0.06850039601407754,-0.19272849612439696
Broxtowe,E07000172,-0.19774082656094077,-0.37704890726510065,-0.1947891981626868,-0.25515072556647816
Burnley,E07000117,-0.12435997631827607,-0.3034004476945953,-0.24879601907137164,-0.25191191892712544
Bury,E08000002,0.19346163931565277,-0.12720320738784271,-0.10560893235280597,-0.3144864782832196
Caerphilly,W06000018,0.16505788340495375,-0.14330977464393505,-0.18412609547602612,-0.2727828805818833
Calderdale,E08000033,0.5145859515544147,0.09536286113890553,-0.018128145650241456,-0.21217188452915978
Cambridge,E07000008,0.012597852981644144,-0.12228396191814851,-0.02824747633021884,-0.27648452858104156
Camden,E09000007,0.6481251750474702,0.378705116960585,0.7278460889512888,-0.24790019756548437
Cannock Chase,E07000192,-0.3234178874255383,-0.4656929673555513,-0.19092289431942894,-0.2756794098824201
Canterbury,E07000106,-0.06006681259622873,-0.29924753639045293,0.20405354499248213,0.14318227193915398
Cardiff,W06000015,1.003409451049076,0.5242413573065846,0.3110089946868033,-0.16873249171817092
Carlisle,E07000028,-0.10951036876421641,-0.34405089919821424,-0.1830584660245926,-0.2830945892168895
Carmarthenshire,W06000010,0.07243423593460904,-0.31017431297866116,0.029812347712171696,-0.018602143534701784
Castle Point,E07000069,-0.35583955670830175,-0.5171889753122224,0.36918628386861385,0.43813982174242433
Central Bedfordshire,E06000056,0.424244670053744,-0.0003344105820237237,0.46068213046568346,0.2458022133007716
Ceredigion,W06000008,-0.35936117096044873,-0.48684772310835356,-0.04318205342775554,-0.1267895352071253
Charnwood,E07000130,-0.03136757224377891,-0.28375348579667314,-0.020100698984834287,-0.07475203147650418
Chelmsford,E07000070,0.10082000010573397,-0.16813731546258476,0.19168844031295515,0.059957280167721796
Cheltenham,E07000078,-0.10017880155053317,-0.2504530263558811,0.09590177494774266,-0.08459085509171273
Cherwell,E07000177,-0.07162841454379842,-0.2961446178598364,-0.1578067356950389,-0.12472088339108166
Cheshire East,E06000049,0.7459241867664967,0.14591814714038484,0.3952726735559162,0.15147333463285884
Cheshire West and Chester,E06000050,0.6408935056424314,0.09338917069105147,0.482431637540894,0.36173153542072073
Chesterfield,E07000034,-0.20403027506432914,-0.4034826936777583,-0.18030615740369912,-0.26827161343546724
Chichester,E07000225,-0.13693047584628434,-0.3376283593575197,0.003147979390407395,0.10232435447570627
Chiltern,E07000005,-0.29512256601462183,0.47317753399682533,-0.08995264780284593,0.4220542198601236
Chorley,E07000118,-0.2009449796998245,-0.3474183897966941,-0.1278447582283631,-0.17239884767993302
Christchurch,E07000048,-0.37624755225709783,0.4089910014291156,-0.1937161952938316,0.15201468607004667
City of London,E09000001,-0.5300079882983847,-0.5650208500493035,-0.23071721975143855,-0.3293765644206851
Colchester,E07000071,0.1261342767218099,-0.1275120526381787,-0.007279917502708774,-0.23027739695097219
Conwy,W06000003,-0.1890047675574313,-0.37881226551889857,-0.06346411888937298,-0.18137841419293346
Copeland,E07000029,-0.2966372633044681,-0.4704862759322034,-0.13697932141783986,-0.15135175976763807
Corby,E07000150,-0.3203641419131382,0.13080515652175367,-0.21389552455182195,0.1141157350179521
Cornwall,E06000052,1.1749865855463137,0.5622593924495571,1.23124908092718,1.1292580955752094
Cotswold,E07000079,-0.3218571897278688,-0.4544575300745118,-0.04897676905214346,-0.081085275203228
County Durham,E06000047,1.196769811488278,0.6214060881698616,0.0253437031299986,-0.0833592817745118
Coventry,E08000026,0.9838220264592952,0.49665428158185454,0.17919319060893885,-0.13121832785414989
Craven,E07000163,-0.33370167878341167,-0.4545579482581151,-0.1528782867798651,-0.14506339837615906
Crawley,E07000226,0.004857868004648573,-0.17538674494893988,-0.1539713350734718,-0.3533598689066291
Croydon,E09000008,1.0850570698632638,0.6237681931404814,0.5114569661272853,-0.1778805697639773
Dacorum,E07000096,0.12189958431926819,-0.10781107932721969,0.07848315068193333,-0.1612149583938242
Darlington,E06000005,-0.12530165852548447,-0.3380635839281441,-0.20358433763253617,-0.2818320195709605
Dartford,E07000107,-0.1064956570577367,-0.21941675647870137,-0.11373562519911354,-0.2810540894518944
Daventry,E07000151,-0.34783965310334586,0.2812015371201936,-0.260117168598514,0.1649659480757487
Denbighshire,W06000004,-0.2824694488624221,-0.4845271324228651,-0.13714215886855605,-0.2570862122674105
Derby,E06000015,0.42837674299196016,-0.050380926006967884,0.027866813523580034,-0.09938100561763451
Derbyshire Dales,E07000035,-0.31395991717887395,-0.4597912447989619,-0.21393323642132359,-0.29073458200676006
Doncaster,E08000017,0.5240603975577885,-0.059627107776934044,0.3068669471824086,0.23300834314866076
Dover,E07000108,-0.07526150799789857,-0.3030042608147026,0.022224964199769864,-0.07568308788113205
