date,geography,geography code,tenure_of_household_owned_owns_outright,tenure_of_household_owned_owns_with_a_mortgage_or_loan,home_ownership_stability,home_ownership_stability_lower_2_5,home_ownership_stability_upper_97_5,tenure_of_household_private_rented_private_landlord_or_letting_agency,tenure_of_household_lives_rent_free,tenure_of_household_shared_ownership,rental_insecurity_score,rental_insecurity_score_lower_2_5,rental_insecurity_score_upper_97_5
2021,Hartlepool,E06000001,12761,11073,-0.19465698412838658,-1.7605019188579896,1.3500864914607646,6338,68,239,-0.34809008656095847,-1.7407282550619407,1.0776401356925929
2011,Hartlepool,E06000001,26,13104,-0.34992021828541464,-1.9338728972576207,1.1412254017732983,5525,71,349,-0.35406108730869507,-1.7568201124351603,1.0784731770660103
2011,Middlesbrough,E06000002,98,17523,-0.26901393538091384,-1.853870906616134,1.2875117760902235,8648,193,570,-0.05228639278425185,-1.452052649904681,1.4081028848643784
2021,Middlesbrough,E06000002,17224,15913,-0.04769246641248455,-1.5738615048212865,1.4515195790325932,11286,115,330,-0.21671245441426104,-1.7131269194225032,1.2835404362634997
2011,Redcar and Cleveland,E06000003,55,19899,-0.26622927228828547,-1.8147417429549175,1.2912184133900981,6698,103,578,-0.22224651174044535,-1.5924187257367002,1.1627009202969387
2021,Redcar and Cleveland,E06000003,22649,17205,0.022992125994515347,-1.4863833997682998,1.5721768526042843,8410,41,346,-0.3293955861474981,-1.7103799691175348,1.0996281945262183
2011,Stockton-on-Tees,E06000004,41,30940,-0.05848932850394942,-1.623143834211162,1.5161946591472597,9417,141,788,-0.02715387153391264,-1.469556845707204,1.3336100403814188
2021,Stockton-on-Tees,E06000004,27726,27686,0.2600837131022836,-1.252401316872155,1.8415957286304794,12388,79,385,-0.1522413730903207,-1.5432233830270126,1.1945680802289889
2011,Darlington,E06000005,112,16479,-0.31177580131128685,-1.9272122194025039,1.22642429610146,7758,97,546,-0.21508558732454852,-1.6201233541815305,1.236109403849769
2021,Darlington,E06000005,16222,14474,-0.11776682669719704,-1.7165180914692226,1.4177344216128127,9035,20,190,-0.4094111542486051,-1.821891348173403,1.1152330206242678
2021,Halton,E06000006,17096,16744,-0.08353652449053293,-1.7038637479495538,1.4827332163327025,7088,45,429,-0.3400319478593059,-1.8019030182606732,1.0716683611545557
2011,Halton,E06000006,14,19360,-0.20932783301598515,-1.7476946473111827,1.3981011760604183,4752,70,376,-0.3526699970368421,-1.740388541298943,1.0002237408063597
2021,Warrington,E06000007,31939,30246,0.37599463867456295,-1.1323366139409623,1.9468055553281851,12193,52,686,-0.1169220713008043,-1.4411060565027864,1.2820885380486906
2011,Warrington,E06000007,52,33709,0.017768550343785834,-1.620198731621089,1.5797434269575525,8683,96,718,-0.12356548307273425,-1.5177228103173768,1.257240700207958
2011,Blackburn with Darwen,E06000008,72,18754,-0.27157556055037574,-1.8391804693781904,1.3014454238149396,8113,190,618,-0.06158394002907086,-1.4236492768973428,1.3601624885865753
2021,Blackburn with Darwen,E06000008,19573,15958,-0.026481665453299004,-1.5442418405637146,1.5367713642790177,10290,47,308,-0.3221829563720627,-1.7418569548194103,0.9994021728132527
2011,Blackpool,E06000009,62,20332,-0.23675079227977383,-1.8301170236923614,1.345722875506607,15549,97,1062,0.15206026433667882,-1.2238580931128147,1.5860316829566465
2021,Blackpool,E06000009,20348,16886,0.014155594353423059,-1.5356631662896476,1.6363865928532926,18843,67,213,-0.1420597930789982,-1.4820750291046096,1.2500762072873208
2021,"Kingston upon Hull, City of",E06000010,26695,29046,0.3205005471924068,-1.3151615151509217,1.8510057407892355,25419,389,585,0.5389486464946944,-0.9022404045058564,1.9309560786752078
2011,"Kingston upon Hull, City of",E06000010,63,33430,-0.0047329199888479865,-1.5403200524108533,1.5545779904679007,21414,382,1125,0.6461663829055412,-0.8453449678544869,2.0568698809571946
2021,East Riding of Yorkshire,E06000011,65680,45518,0.9839767806726731,-0.6056949451652204,2.639063964771289,22171,222,634,0.28558611069092693,-1.1586561462728961,1.7123396172988037
2011,East Riding of Yorkshire,E06000011,298,51566,0.33891091850409016,-1.237316685205187,1.9180804011883468,17760,254,1336,0.4874489713383532,-0.9068187249546791,1.8459553881700836
2011,North East Lincolnshire,E06000012,106,24573,-0.15909734142977736,-1.71645332089887,1.4233391904168224,11594,135,792,0.02306890458241213,-1.40481232598338,1.4017186447389032
2021,North East Lincolnshire,E06000012,24373,20211,0.11268623555818888,-1.4731735810310838,1.6486906969543205,14185,49,358,-0.18820173857674005,-1.5992424261309182,1.17713766048494
2011,North Lincolnshire,E06000013,169,25782,-0.12214472330627364,-1.7343232599904856,1.45305879076416,8493,123,692,-0.0722358810111741,-1.4474445433354974,1.3634308765765746
2021,North Lincolnshire,E06000013,27829,21567,0.17312190523470133,-1.4306768348153853,1.8067998711569264,10929,64,204,-0.3013942230746979,-1.7082685693839936,1.1013241848655362
2011,York,E06000014,245,26876,-0.09482712964503176,-1.657572320493482,1.4965765343779927,13687,295,753,0.22939468869012164,-1.160783179260709,1.6639680206029925
2021,York,E06000014,31453,24182,0.2760619732435866,-1.2981414855922722,1.7873649106025784,15209,96,719,0.007889426418354809,-1.3633059017550548,1.3978982152113932
2011,Derby,E06000015,75,32526,0.029205821493813226,-1.5852140126811622,1.6475564305590589,15943,193,982,0.19975428195357184,-1.1667277763882522,1.540942087272022
2021,Derby,E06000015,33384,28985,0.39059914710823773,-1.2380148205577939,2.00222400694596,20395,188,790,0.2786698888769327,-1.154738399024405,1.7020501736440947
2021,Leicester,E06000016,31324,28106,0.3364409608598994,-1.1794580400687824,1.9707800084196265,34549,365,662,0.6824070169685007,-0.7924534361338929,2.0993828299703434
2011,Leicester,E06000016,198,33152,0.013512286924056281,-1.5516338951142095,1.5834145418589207,26207,421,1173,0.7724645261447661,-0.6160370723618536,2.156037443899231
2011,Rutland,E06000017,301,4667,-0.4987791032409646,-2.1691637309422647,1.1549161381921726,1741,169,122,-0.3938585366369794,-1.7119756468652518,0.9624189307800359
2021,Rutland,E06000017,7286,4555,-0.4058420920689296,-2.0334754561891915,1.1527009553238041,2082,8,233,-0.5525096086162132,-1.9470870424466475,0.8614768573875468
2021,Nottingham,E06000018,27940,28375,0.30924172231095015,-1.2886237591391945,1.8890403101514621,33039,335,609,0.6417043942583577,-0.7337364520609321,1.9608921016433947
2011,Nottingham,E06000018,136,31715,-0.0598573169199765,-1.664389736930322,1.54551239816856,27300,359,1303,0.7400484876297984,-0.6230679007400426,2.17367109651825
2021,"Herefordshire, County of",E06000019,35070,19893,0.22275897915378215,-1.4007963351266899,1.7515050657219544,12943,34,916,-0.051901183990707415,-1.4151723399006277,1.365372489750182
2011,"Herefordshire, County of",E06000019,468,22147,-0.18523895796539322,-1.756714302546976,1.415537696544312,10680,261,738,0.1091488218746754,-1.3046052936401709,1.5099392334400161
2021,Telford and Wrekin,E06000020,23088,22776,0.12409825699101004,-1.546155848400363,1.7722358297890926,14694,78,586,-0.07799373150051826,-1.4774737181531181,1.3765636991147487
2011,Telford and Wrekin,E06000020,164,24311,-0.18612019218244596,-1.7327692205742504,1.3660588297044418,9055,158,602,-0.08035115937295284,-1.508348126828891,1.325419324316228
2021,Stoke-on-Trent,E06000021,33558,29095,0.31321342975816047,-1.2559368215850684,1.9131257676349092,20065,374,404,0.34078555050541975,-1.0119979046561731,1.7474841135647516
2011,Stoke-on-Trent,E06000021,84,33300,-0.028203879967880492,-1.6141175311487097,1.5801609038109279,14176,242,938,0.22862602927032916,-1.136301121090755,1.704937490932613
2021,Bath and North East Somerset,E06000022,28855,22878,0.21865750042450702,-1.2649980505311376,1.7902778624036562,13758,55,790,-0.008917806802217038,-1.32583855435544,1.4576553908826844
2011,Bath and North East Somerset,E06000022,128,23241,-0.1887943262777429,-1.816559592018922,1.4346917993299293,11408,176,735,0.014563730979585625,-1.3891044153683338,1.4205601833910595
2011,"Bristol, City of",E06000023,232,53780,0.297782593046471,-1.2371954077678076,1.834903327017242,40401,411,1984,1.163176212467293,-0.22169526657269858,2.596172028474337
2021,"Bristol, City of",E06000023,48199,55221,0.9249745535184131,-0.6738817514246893,2.516993419472262,46271,470,1656,1.2027566304218245,-0.1782795908218607,2.609869522290251
2021,North Somerset,E06000024,37250,30532,0.441516990684499,-1.1662218210689093,1.9891761319249373,15541,53,679,-0.035130309924326544,-1.429858321472791,1.394621597087984
2011,North Somerset,E06000024,129,31891,-0.022351072330878807,-1.606208414675499,1.5672769556556545,13058,125,958,0.08437707360190169,-1.3051635888535325,1.4675472475058167
2021,South Gloucestershire,E06000025,43220,42272,0.7284653547542339,-0.7919965747854474,2.3095811136758986,16441,52,1231,0.14496723458963506,-1.2436637178173868,1.5322332509398453
2011,South Gloucestershire,E06000025,233,43536,0.14985887523813943,-1.4192033451916768,1.7000813916305546,13124,204,1039,0.20518886607277415,-1.2287628455779553,1.6623039242303683
2021,Plymouth,E06000026,33783,32255,0.4433837113568137,-1.1651363752534676,2.0361418344594813,22754,138,1349,0.4575739325183491,-0.9697150676827442,1.8722543511749858
2011,Plymouth,E06000026,687,34394,0.02813620042054412,-1.5279815541745505,1.545096126349552,19431,593,1315,0.8153610935562133,-0.6300813841253118,2.271122045835077
2021,Torbay,E06000027,24663,15699,0.10356839224523759,-1.407464784923277,1.6690907795006273,15195,16,622,-0.12521397466375514,-1.5485628308284347,1.292752961305789
2011,Torbay,E06000027,65,17921,-0.23347932587209605,-1.8667357425364064,1.362262488475127,12647,105,879,0.023881761206320046,-1.3903010832376228,1.484590906102847
2011,Bournemouth,E06000028,138,24237,-0.14108817734753828,-1.7080036883057215,1.3129152303985516,23234,213,1100,0.494752244420974,-0.9325090220338943,1.924598943889356
2021,Bournemouth,E06000028,59736,49485,0.9548241941016119,-0.6143599435262779,2.5764399382504926,40460,141,1226,0.7249544929911808,-0.666637429018647,2.126864212694017
2021,Poole,E06000029,59736,49485,0.9426452720699847,-0.5349142229278736,2.476686893248822,40460,141,1226,0.7055630504283699,-0.7482910033554899,2.095930683810123
2011,Poole,E06000029,210,21983,-0.20137602648442163,-1.8285484947061736,1.4309266158343243,9293,129,643,-0.1084503796873123,-1.449875259709213,1.2859801014052374
2011,Swindon,E06000030,135,35153,-0.0072422405714319535,-1.621518835431306,1.5390756121057323,13020,153,861,0.11181902078828482,-1.339985085254684,1.5518044520157483
2021,Swindon,E06000030,27968,33075,0.4089858464857565,-1.1382519670139255,1.9765121733953388,16798,151,1203,0.25864113685339646,-1.1211383436051237,1.5677337204722441
2011,Peterborough,E06000031,288,24743,-0.1698014972590043,-1.6907091400405172,1.3910951447801385,12855,326,699,0.22239817304440815,-1.237007876171504,1.6417883266281537
2021,Peterborough,E06000031,22268,24624,0.1732049793005224,-1.277474723161813,1.6614550220056685,18675,102,1167,0.2595715389926714,-1.1773547131734479,1.6693957828968413
2021,Luton,E06000032,20296,22281,0.07811402466550169,-1.512028437838918,1.6166441745519844,21280,127,426,0.08110876305054907,-1.3349926222557262,1.4656643392409303
2011,Luton,E06000032,70,26077,-0.15017036165099626,-1.6321215918302894,1.2993560293351327,15802,218,726,0.17382297165418836,-1.1707090558175879,1.5274148474679423
2011,Southend-on-Sea,E06000033,100,25706,-0.14152295786019936,-1.7083952465942558,1.3909746829870735,15472,113,754,0.017323626916508704,-1.4168700275219506,1.3969179505726126
2021,Southend-on-Sea,E06000033,24722,23301,0.15086558775820927,-1.425409654134193,1.884093114356761,19085,40,503,0.002201616915752035,-1.5022000436561145,1.4392969244448715
2011,Thurrock,E06000034,51,25379,-0.16398071405146278,-1.7136990135409866,1.3740097043565407,8220,58,443,-0.28529699469662323,-1.6974829254212818,1.0976430830231345
2021,Thurrock,E06000034,16912,25108,0.12626847817917028,-1.396931243713086,1.7648065653556737,11015,48,445,-0.24209168722532082,-1.601777881680781,1.2159966663485442
2021,Medway,E06000035,34388,37734,0.5516099361598773,-1.0525769434461312,2.1705274201955875,20219,68,1646,0.3838379669847777,-1.024280515314882,1.7278314486874853
2011,Medway,E06000035,287,41156,0.13872550229388275,-1.4989353428249477,1.7107365902859426,16627,326,913,0.3592562195775666,-1.0770231868037015,1.7226853532767565
2021,Bracknell Forest,E06000036,14488,19053,-0.02600044359706095,-1.5996908276283712,1.487048228288486,6957,36,877,-0.16025723180576099,-1.622451845853608,1.2437543868715741
2011,Bracknell Forest,E06000036,298,19999,-0.2114918889452423,-1.7693391310014137,1.3626733015178585,4874,178,384,-0.2592984060909927,-1.7053388427042615,1.2012709210060801
2011,West Berkshire,E06000037,457,23980,-0.14780634326479847,-1.6199954835939119,1.513845974520867,7457,213,428,-0.12755351359438918,-1.5400226323334523,1.2871041112787398
2021,West Berkshire,E06000037,23209,21828,0.12138034434256412,-1.3979089694518725,1.6113181479632883,9668,7,878,-0.16954810250789867,-1.5768315579263374,1.2435857879868435
2021,Reading,E06000038,15426,18707,-0.021174461933221155,-1.5727965436939726,1.5179883352583288,20373,120,883,0.17981641962899786,-1.3208156699073146,1.598590567569892
2011,Reading,E06000038,91,20257,-0.20124064852077142,-1.7373737879363926,1.3939117382026482,15517,181,605,0.09696707553214332,-1.2780917880444744,1.481837643108834
2021,Slough,E06000039,10215,15186,-0.18136109418905963,-1.7653426251323527,1.3218959150939675,15101,88,573,-0.0454293035579577,-1.494147648520626,1.3397317768997035
2011,Slough,E06000039,73,17253,-0.2735980965388363,-1.8174208160128167,1.416421266106074,11713,117,445,-0.13147618959743348,-1.5251882263351748,1.2683731708719428
2011,Windsor and Maidenhead,E06000040,580,20663,-0.19914044204973652,-1.8310624536248206,1.3004496627367899,8099,378,375,0.07487647150433277,-1.2986041822390595,1.3911049235415034
2021,Windsor and Maidenhead,E06000040,20393,19913,0.0905259736933629,-1.4278866230927627,1.7050286552717249,10635,23,392,-0.29166230829218603,-1.7066843087166073,1.1273575791505508
