geography,geography code,home_ownership_stability_2011,home_ownership_stability_2021,rental_insecurity_score_2011,rental_insecurity_score_2021
Adur,E07000223,-0.4072435542957137,-0.2569136479552894,-0.5231394024566511,-0.5093614887551876
Allerdale,E07000026,-0.30191743282797795,-0.10887390249243861,-0.34880887211393447,-0.48411282400774436
Amber Valley,E07000032,-0.2084625898838338,0.08425714000727526,-0.288111092140962,-0.3551769798131727
Arun,E07000224,-0.25246838090912316,0.22025764691902402,-0.1222592547286375,-0.0600420571757485
Ashfield,E07000170,-0.23322212450729313,-0.03726333419066856,-0.3506790424496509,-0.31310634447948793
Ashford,E07000105,-0.27215521970399753,-0.004735910844342459,-0.2865802277748036,-0.12828664763035338
Aylesbury Vale,E07000004,-0.085094064073804,1.2825622203663645,-0.07789274627349256,0.9106265791826413
Babergh,E07000200,-0.3322277109608895,-0.14164343664736753,-0.3452208313496335,-0.3643146901411917
Barking and Dagenham,E09000002,-0.2190345662256089,-0.08846870642701811,-0.02219027208510125,0.2895493430687467
Barnet,E09000003,0.09169846230936808,0.6030597559636657,0.7994391609780629,0.91080486762089
Barnsley,E08000016,-0.011751121699155688,0.45510298503918645,-0.0145508187891277,0.24233730268813503
Barrow-in-Furness,E07000027,-0.33396629611050904,-0.24172152363615998,-0.4167338269755238,-0.5312688350853578
Basildon,E07000066,-0.08353856233446422,0.15784301749323168,-0.2799482491907114,-0.05158833082778213
Basingstoke and Deane,E07000084,-0.08331645714952188,0.19469745705302288,-0.289473264802609,0.07564994559303419
Bassetlaw,E07000171,-0.2547584701109993,-0.02329529183677714,-0.2914921025413694,-0.40264073831370567
Bath and North East Somerset,E06000022,-0.1887943262777429,0.21865750042450702,0.014563730979585625,-0.008917806802217038
Bedford,E06000055,-0.20604159696279992,0.15577257478679138,-0.07858780475138671,0.13517557562111027
Bexley,E09000004,0.056522080304064755,0.4278135086036699,-0.09296602372622755,0.11306470694575801
Birmingham,E08000025,0.9287220941890542,1.395378444383278,1.5188857030921914,1.5335498933510594
Blaby,E07000129,-0.28766160230343674,-0.06085173565352725,-0.42217855858765996,-0.42497441918781514
Blackburn with Darwen,E06000008,-0.27157556055037574,-0.026481665453299004,-0.06158394002907086,-0.3221829563720627
Blackpool,E06000009,-0.23675079227977383,0.014155594353423059,0.15206026433667882,-0.1420597930789982
Blaenau Gwent,W06000019,-0.40749793830433445,-0.31768593813772056,-0.4282951366094135,-0.5300282368587766
Bolsover,E07000033,-0.3636929410575834,-0.20547324166399183,-0.4938643813193455,-0.46019230687291973
Bolton,E08000001,0.1019089197641683,0.5270827684768166,0.2356584567155633,0.2061900518724198
Boston,E07000136,-0.42693178732127157,-0.2929850133749489,-0.41900640123560906,-0.37686832282326044
Bournemouth,E06000028,-0.14108817734753828,0.9548241941016119,0.494752244420974,0.7249544929911808
Bracknell Forest,E06000036,-0.2114918889452423,-0.02600044359706095,-0.2592984060909927,-0.16025723180576099
Bradford,E08000032,0.5407117846898924,1.147674224661869,1.2048923928851547,0.8339502138128119
Braintree,E07000067,-0.19974421668834982,0.11659380136601136,-0.2010615935728049,-0.29791599936637814
