"date","geography","geography code","Rural Urban","Occupancy Rating: All categories: Occupancy rating bedrooms; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of +2 or more; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of +1; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of 0; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of -1; measures: Value","Occupancy Rating: Occupancy rating (bedrooms) of -2 or less; measures: Value"
"2011","Darlington","E06000005","Total",46670,15682,18270,11450,1149,119
"2011","County Durham","E06000047","Total",223803,77389,92840,48450,4599,525
"2011","Hartlepool","E06000001","Total",40434,14261,15525,9576,947,125
"2011","Middlesbrough","E06000002","Total",57203,18686,20890,15031,2246,350
"2011","Northumberland","E06000057","Total",138534,54773,52023,28925,2555,258
"2011","Redcar and Cleveland","E06000003","Total",59605,22262,22543,13404,1280,116
"2011","Stockton-on-Tees","E06000004","Total",79159,31297,28543,16962,2118,239
"2011","Gateshead","E08000037","Total",89154,25218,37148,23685,2832,271
"2011","Newcastle upon Tyne","E08000021","Total",117153,33721,44512,33757,4495,668
"2011","North Tyneside","E08000022","Total",91295,30014,37089,22177,1832,183
"2011","South Tyneside","E08000023","Total",67167,19679,27034,18195,2045,214
"2011","Sunderland","E08000024","Total",119758,35052,47965,32638,3657,446
"2011","Blackburn with Darwen","E06000008","Total",57353,15243,22427,16138,2914,631
"2011","Blackpool","E06000009","Total",64367,19889,23113,19474,1712,179
"2011","Cheshire East","E06000049","Total",159441,69362,56720,30116,2897,346
"2011","Cheshire West and Chester","E06000050","Total",141442,60781,49773,27662,2893,333
"2011","Halton","E06000006","Total",53312,19128,19560,13103,1379,142
"2011","Warrington","E06000007","Total",85140,33989,29986,19115,1825,225
"2011","Allerdale","E07000026","Total",42345,17667,16602,7359,651,66
"2011","Barrow-in-Furness","E07000027","Total",31224,10174,12937,7449,615,49
"2011","Carlisle","E07000028","Total",48342,17739,19251,10305,943,104
"2011","Copeland","E07000029","Total",30536,12934,11962,5017,558,65
"2011","Eden","E07000030","Total",23043,10808,8215,3676,310,34
"2011","South Lakeland","E07000031","Total",46552,20801,16892,8201,599,59
"2011","Bolton","E08000001","Total",116371,34061,44327,32614,4597,772
"2011","Bury","E08000002","Total",78113,26474,29380,19533,2392,334
"2011","Manchester","E08000003","Total",204969,45509,70320,73241,13471,2428
"2011","Oldham","E08000004","Total",89703,23051,34588,26110,4843,1111
"2011","Rochdale","E08000005","Total",87552,24996,32074,25789,3963,730
"2011","Salford","E08000006","Total",103556,27942,39231,32075,3829,479
"2011","Stockport","E08000007","Total",121979,45609,44149,28651,3200,370
"2011","Tameside","E08000008","Total",94953,26387,37604,27225,3286,451
"2011","Trafford","E08000009","Total",94484,36928,32905,21589,2667,395
"2011","Wigan","E08000010","Total",136386,46583,53937,32205,3331,330
"2011","Burnley","E07000117","Total",37550,9920,15950,10135,1313,232
"2011","Chorley","E07000118","Total",44919,18260,16642,9071,842,104
"2011","Fylde","E07000119","Total",34885,13962,13355,7083,443,42
"2011","Hyndburn","E07000120","Total",34341,8286,14875,9591,1315,274
"2011","Lancaster","E07000121","Total",57822,20507,22201,13659,1324,131
"2011","Pendle","E07000122","Total",37348,10627,15308,9483,1542,388
"2011","Preston","E07000123","Total",57567,18612,20501,15910,2185,359
"2011","Ribble Valley","E07000124","Total",24045,10084,9206,4376,348,31
"2011","Rossendale","E07000125","Total",29058,9468,11055,7545,869,121
"2011","South Ribble","E07000126","Total",46102,18814,17558,8809,852,69
"2011","West Lancashire","E07000127","Total",45381,19161,16500,8732,871,117
"2011","Wyre","E07000128","Total",47281,17505,19541,9344,808,83
"2011","Knowsley","E08000011","Total",61323,22071,21944,14780,2241,287
"2011","Liverpool","E08000012","Total",206515,63556,74964,59105,7726,1164
"2011","Sefton","E08000014","Total",117930,46973,40827,26760,2997,373
"2011","St. Helens","E08000013","Total",75736,27539,29101,16952,1941,203
"2011","Wirral","E08000015","Total",140583,57252,50517,29661,2804,349
"2011","East Riding of Yorkshire","E06000011","Total",143032,61378,53874,25055,2484,241
"2011","Kingston upon Hull, City of","E06000010","Total",112596,29218,44393,34194,4298,493
"2011","North East Lincolnshire","E06000012","Total",69707,27152,25188,15627,1575,165
"2011","North Lincolnshire","E06000013","Total",70684,29587,25328,13814,1715,240
"2011","York","E06000014","Total",83552,29882,30944,19792,2668,266
"2011","Craven","E07000163","Total",24583,10373,9263,4525,368,54
"2011","Hambleton","E07000164","Total",38117,18022,13137,6426,488,44
"2011","Harrogate","E07000165","Total",67169,29231,23122,13284,1391,141
"2011","Richmondshire","E07000166","Total",20207,8745,7275,3781,366,40
"2011","Ryedale","E07000167","Total",22524,10060,8255,3825,350,34
"2011","Scarborough","E07000168","Total",49435,17514,18953,11718,1119,131
"2011","Selby","E07000169","Total",34559,15700,12098,6072,591,98
"2011","Barnsley","E08000016","Total",100734,35458,40924,21972,2171,209
"2011","Doncaster","E08000017","Total",126487,47959,47127,27337,3520,544
"2011","Rotherham","E08000018","Total",108293,39889,41052,24040,2801,511
"2011","Sheffield","E08000019","Total",229928,78341,78912,61797,9209,1669
"2011","Bradford","E08000032","Total",199296,60547,70947,55430,9930,2442
"2011","Calderdale","E08000033","Total",88621,27273,34244,24194,2510,400
"2011","Kirklees","E08000034","Total",173525,55072,61907,48249,6941,1356
"2011","Leeds","E08000035","Total",320596,104816,116044,87902,10449,1385
"2011","Wakefield","E08000036","Total",140414,48155,56580,31902,3320,457
"2011","Derby","E06000015","Total",102271,33257,36315,27581,4280,838
"2011","Leicester","E06000016","Total",123125,30396,37782,42895,9758,2294
"2011","Nottingham","E06000018","Total",126131,34176,43792,40587,6525,1051
"2011","Rutland","E06000017","Total",15002,7964,4644,2209,164,21
"2011","Amber Valley","E07000032","Total",52596,19805,20816,10791,1080,104
"2011","Bolsover","E07000033","Total",32801,11568,13999,6461,692,81
"2011","Chesterfield","E07000034","Total",46796,15751,17924,12003,1033,85
"2011","Derbyshire Dales","E07000035","Total",30744,14045,10552,5651,437,59
"2011","Erewash","E07000036","Total",48692,18189,18898,10538,969,98
"2011","High Peak","E07000037","Total",38946,14660,14467,8832,897,90
"2011","North East Derbyshire","E07000038","Total",43070,17326,16916,7996,758,74
"2011","South Derbyshire","E07000039","Total",38992,16671,14518,7119,620,64
"2011","Blaby","E07000129","Total",38686,17665,13720,6617,607,77
"2011","Charnwood","E07000130","Total",66516,26722,23405,14718,1440,231
"2011","Harborough","E07000131","Total",34898,16996,11813,5563,463,63
"2011","Hinckley and Bosworth","E07000132","Total",45377,19436,17089,8065,696,91
"2011","Melton","E07000133","Total",21490,10296,7164,3695,301,34
"2011","North West Leicestershire","E07000134","Total",39128,17229,13964,7189,672,74
"2011","Oadby and Wigston","E07000135","Total",21339,8340,8108,4223,575,93
"2011","Boston","E07000136","Total",27291,9770,10020,6404,912,185
"2011","East Lindsey","E07000137","Total",60890,23444,24976,11298,1044,128
"2011","Lincoln","E07000138","Total",39825,12624,14329,11443,1282,147
"2011","North Kesteven","E07000139","Total",45972,21998,17216,6237,464,57
"2011","South Holland","E07000140","Total",37264,15263,13951,6912,959,179
"2011","South Kesteven","E07000141","Total",57344,26846,20180,9468,779,71
"2011","West Lindsey","E07000142","Total",38385,18280,13948,5680,422,55
"2011","Corby","E07000150","Total",25215,9812,9045,5603,677,78
"2011","Daventry","E07000151","Total",31647,15545,10264,5316,479,43
"2011","East Northamptonshire","E07000152","Total",35662,16311,12394,6338,555,64
"2011","Kettering","E07000153","Total",39701,15643,14654,8603,719,82
"2011","Northampton","E07000154","Total",88731,29543,31262,24046,3354,526
"2011","South Northamptonshire","E07000155","Total",34717,17543,11787,4977,365,45
"2011","Wellingborough","E07000156","Total",32057,12738,11377,7168,685,89
"2011","Ashfield","E07000170","Total",50931,18327,20090,11227,1174,113
"2011","Bassetlaw","E07000171","Total",47667,20742,17102,8825,873,125
"2011","Broxtowe","E07000172","Total",46820,19153,17096,9375,1084,112
"2011","Gedling","E07000173","Total",49349,20512,18409,9501,814,113
"2011","Mansfield","E07000174","Total",44928,16220,16880,10490,1177,161
"2011","Newark and Sherwood","E07000175","Total",48773,22284,17223,8403,747,116
"2011","Rushcliffe","E07000176","Total",45835,22731,15561,6788,677,78
"2011","Herefordshire, County of","E06000019","Total",78319,34194,24992,16836,2027,270
"2011","Shropshire","E06000051","Total",129674,56076,45461,25205,2592,340
"2011","Stoke-on-Trent","E06000021","Total",107575,27436,44489,30921,4119,610
