"date","geography","geography code","Rural Urban","Cars: All categories: Car or van availability; measures: Value","Cars: No cars or vans in household; measures: Value","Cars: 1 car or van in household; measures: Value","Cars: 2 cars or vans in household; measures: Value","Cars: 3 cars or vans in household; measures: Value","Cars: 4 or more cars or vans in household; measures: Value","Cars: sum of All cars or vans in the area; measures: Value"
"2011","Darlington","E06000005","Total",46670,13052,20682,10450,1962,524,49794
"2011","County Durham","E06000047","Total",223803,60926,96086,52740,10775,3276,248586
"2011","Hartlepool","E06000001","Total",40434,14268,16573,7662,1535,396,38269
"2011","Middlesbrough","E06000002","Total",57203,21488,22963,10207,1945,600,51821
"2011","Northumberland","E06000057","Total",138534,30543,60875,36916,7671,2529,168974
"2011","Redcar and Cleveland","E06000003","Total",59605,16935,25367,13646,2832,825,64747
"2011","Stockton-on-Tees","E06000004","Total",79159,20524,32728,20487,4222,1198,91623
"2011","Gateshead","E08000037","Total",89154,32551,37214,16016,2682,691,80359
"2011","Newcastle upon Tyne","E08000021","Total",117153,48853,45938,18277,3178,907,96163
"2011","North Tyneside","E08000022","Total",91295,28865,40879,18030,2877,644,88497
"2011","South Tyneside","E08000023","Total",67167,25830,27639,11168,1999,531,58301
"2011","Sunderland","E08000024","Total",119758,42094,49564,22561,4358,1181,112999
"2011","Blackburn with Darwen","E06000008","Total",57353,17502,25110,11819,2256,666,58447
"2011","Blackpool","E06000009","Total",64367,23635,27493,10635,2035,569,57390
"2011","Cheshire East","E06000049","Total",159441,25709,65543,52217,11763,4209,224179
"2011","Cheshire West and Chester","E06000050","Total",141442,26297,58893,43561,9580,3111,188557
"2011","Halton","E06000006","Total",53312,14380,22923,12893,2418,698,59007
"2011","Warrington","E06000007","Total",85140,16409,35587,26623,5049,1472,110349
"2011","Allerdale","E07000026","Total",42345,8805,18713,11344,2639,844,53176
"2011","Barrow-in-Furness","E07000027","Total",31224,9345,14678,5765,1114,322,31000
"2011","Carlisle","E07000028","Total",48342,11932,21779,11409,2402,820,55512
"2011","Copeland","E07000029","Total",30536,7143,13257,7852,1750,534,36557
"2011","Eden","E07000030","Total",23043,3211,9664,7536,1863,769,33759
"2011","South Lakeland","E07000031","Total",46552,7142,21298,13892,3057,1163,63530
"2011","Bolton","E08000001","Total",116371,32948,50068,27136,4938,1281,124847
"2011","Bury","E08000002","Total",78113,18683,34373,20546,3477,1034,90387
"2011","Manchester","E08000003","Total",204969,91248,83276,25598,3779,1068,150722
"2011","Oldham","E08000004","Total",89703,27954,38521,18893,3368,967,90773
"2011","Rochdale","E08000005","Total",87552,27460,36830,18960,3411,891,88871
"2011","Salford","E08000006","Total",103556,38178,43884,17769,2919,806,91679
"2011","Stockport","E08000007","Total",121979,26781,52372,34324,6526,1976,149190
"2011","Tameside","E08000008","Total",94953,28132,41793,20497,3593,938,97736
"2011","Trafford","E08000009","Total",94484,20485,40855,26861,4923,1360,115300
"2011","Wigan","E08000010","Total",136386,33606,59544,34821,6642,1773,156848
